experiment,hour,date_of_week,date_of_month,month,device_make
1,13,5,4,7,94
0,15,4,3,7,45
1,8,4,10,7,12
1,2,6,5,7,3
0,10,3,9,7,12
1,3,4,3,7,65
0,15,4,3,7,12
1,9,1,7,7,12
0,15,4,3,7,108
1,17,3,9,7,12
0,15,4,3,7,4
0,8,0,6,7,12
1,7,3,9,7,12
0,21,5,4,7,52
1,20,1,7,7,68
0,4,6,5,7,70
0,15,4,3,7,12
0,9,0,6,7,52
0,15,4,3,7,12
0,15,4,3,7,52
1,1,4,3,7,12
0,0,3,9,7,12
0,7,4,10,7,63
0,15,4,3,7,11
1,17,2,8,7,19
1,14,5,4,7,65
0,15,6,5,7,12
1,1,5,4,7,12
0,1,4,10,7,31
1,11,3,9,7,12
0,15,4,3,7,12
0,15,4,3,7,12
1,3,3,9,7,85
0,7,3,9,7,12
0,9,5,4,7,12
1,6,3,9,7,46
0,3,0,6,7,24
1,10,5,4,7,12
